BankState,Default,ChgOffPrinGr,Term,DisbursementGross,GrSBA_AppvDiff%,DisbursePerEmployee,USDPerJobCreated,NoEmp,CreateJob,RetainedJob,Population,PopDensity,GrAppv,SBA_Appv,HousingUnits,OccupiedHousingUnits,MedianHomeValue,MedianHouseholdIncome
PA,0.08103651354534747,106348.6460444522,93.03068315665489,246692.33304395457,28.806524430790038,29805.24110599909,84434.11920640433,14.138574793875147,1.6182567726737338,3.54452296819788,22626.529623085982,3110.513663133098,239023.75897559986,185050.14267047754,9771.335394581862,9002.556360424029,205787.49240282684,60382.46778563015
RI,0.22820165002557316,48312.4909375253,71.04398585692365,120081.58710945662,46.14027397095955,18368.348506855604,63478.10358465143,6.7753118815183795,0.7951255309213013,5.32944917609909,25212.332384531564,5237.420867708866,91569.33390185695,57940.421209566266,10856.115101514377,9930.806933665413,278201.1834819542,66030.00553714781
SC,0.15715245130960376,226594.2312419045,184.5216924110141,656762.2648497142,21.76936803047174,85237.26815279415,200256.37367041886,11.617864338482203,2.3328408327736736,4.134452652787106,27351.068502350572,2644.03680322364,663848.529818169,500240.5310427169,12245.134184016119,10664.186702484889,197781.74882471457,52758.64271323036
SD,0.1835572315185796,115245.39679970368,124.98134181789614,346258.23964054254,30.046430386510032,37162.16831590104,100230.65723700836,13.706123811768403,1.2207950349595411,3.599968575693299,30831.341267970776,4039.1343389111476,330568.26559474063,245999.05419761117,12654.072531227905,11564.162797548905,285900.15708225314,60656.03527378427
TN,0.10446428571428572,198126.26675536163,132.31035714285716,408548.6607455162,20.904921046340625,37005.67660418132,97926.70376726126,13.260178571428572,2.0264285714285712,2.8705357142857144,28034.21392857143,1498.3978571428572,409408.19821133954,327523.65338081337,12369.195357142857,11087.664642857142,167343.03642857142,49084.78928571429
TX,0.140242748059488,211411.4477042453,131.81627716190917,436363.3933129452,20.86862933392883,47953.41566871879,128034.96267137579,13.46382969772187,2.19724857485433,3.8658154357474914,31506.556111823975,2905.875049958981,438089.50239503785,338318.04671198374,12650.667283703906,11506.647510465093,188423.96266223522,55901.193861881824
UT,0.17035304125903872,70280.90831330228,116.06784347086347,263229.0922637163,31.13047304033896,34695.99559706193,70068.5476813754,9.995959166312208,3.7313908974904297,5.623139089749043,28401.01642917907,2066.7716397277754,244257.15691955984,196082.84896008635,10254.885155253083,9393.97299021693,219643.51393024245,56911.03152913654
VA,0.394853195164076,41594.53622908029,76.63291882556132,125735.26905095794,42.23426927000542,17458.26191879838,51989.427943926334,7.417754749568221,1.5367184801381693,4.431813471502591,28952.59768566494,4599.10573402418,117612.71026807796,86233.01826781812,12071.299067357513,11012.251502590674,276833.44953367877,63589.664801381696
VT,0.054580071927226574,77614.2555095388,111.08842817854877,226855.9064499237,24.495953843364926,23318.30104546798,64424.63525777224,9.54601226993865,0.7086947323884071,2.3300190395599745,8798.026866934631,515.36746350751,223948.33763985932,173330.83774024414,4186.017981806643,3679.9913264226784,231314.19526126506,55305.430294055426
WA,0.07624413145539906,120611.36398570021,131.34028169014084,363599.91093256674,19.03482267767796,33637.606831432924,115691.6260634532,14.687981220657276,2.432112676056338,3.0188732394366196,27176.505258215962,2943.363474178404,361655.2951474807,303678.9113883647,11663.963286384977,10768.846854460095,287160.78938967135,59634.65746478873
WI,0.1192468619246862,120968.44565390269,118.59682269874477,336182.61650264513,24.694441052214426,40243.61108410042,101906.57008587464,12.977183577405858,2.093030857740586,4.487578451882845,22459.554720188284,1520.9885591004183,326022.0232047217,261252.42104781227,9919.056746861925,9124.995685146443,175321.26699790795,55809.13918671548
WV,0.13836163836163837,145956.5911155578,105.88461538461539,262976.3281470657,18.925602942278054,20563.523071655345,71639.01722752882,11.68981018981019,1.0524475524475525,1.2437562437562437,16244.963036963038,602.1703296703297,258050.0310266686,208702.03464129896,7668.699300699301,6868.237262737262,110544.55544455544,40889.31368631369
WY,0.050369685767097966,113065.35518447288,115.0605360443623,260954.64465445373,19.2578407931082,27343.545804976264,87389.81496217071,11.55637707948244,1.0891866913123844,1.9542513863216266,16004.880776340111,156.634011090573,259810.22557357917,212837.5873074094,7326.546672828096,6537.647874306839,208620.98243992607,57426.2865064695
