BankState,Default,ChgOffPrinGr,Term,DisbursementGross,GrSBA_AppvDiff%,DisbursePerEmployee,USDPerJobCreated,NoEmp,CreateJob,RetainedJob,Population,PopDensity,GrAppv,SBA_Appv,HousingUnits,OccupiedHousingUnits,MedianHomeValue,MedianHouseholdIncome
RI,10262.0,449016290.77336013,3194777.0,5399948890.725155,2074881.98020008,826006264.0047897,657252284.5154809,304679.0,35756.0,239660.0,1133773375.0,235521579.0,4117781376.2326055,2605522801.3729854,488188640.0,446578457.0,12510429020.0,2969303319.0
SC,1170.0,265341844.78427017,1373764.0,4889595061.806123,162072.9449868621,634591461.3975524,457385557.4632367,86495.0,17368.0,30781.0,203628705.0,19684854.0,4942352304.496268,3724290753.613027,91165024.0,79394870.0,1472485120.0,392788095.0
SD,9346.0,1074893815.9508362,6363550.0,17630084529.537865,1529844.0495595448,1892148961.9724174,1124587974.1992338,697861.0,62158.0,183296.0,1569808572.0,205656564.0,16831213811.021814,12525287843.52557,644294757.0,588800913.0,14556892398.0,3088362692.0
TN,585.0,115705739.7851312,740938.0,2287872500.1748905,117067.5578595075,207231788.98341537,105467059.95734037,74257.0,11348.0,16075.0,156991598.0,8391028.0,2292685909.9835014,1834132458.932555,69267494.0,62090922.0,937121004.0,274874820.0
TX,6667.0,1407154595.9194567,6266414.0,20744279354.7041,992073.7699056426,2279657427.4752226,1400446421.6995084,640057.0,104455.0,183777.0,1497790171.0,138142394.0,20826336854.357704,16083301622.640995,601400072.0,547014516.0,8957486761.0,2657486855.0
UT,3204.0,225039468.4191939,2183004.0,4950812767.295976,585501.9369426952,652562285.1895407,522851502.79842323,188004.0,70180.0,105760.0,534166317.0,38871841.0,4593988607.343081,3687926223.2413044,192873880.0,176681844.0,4131055210.0,1070382681.0
VA,11431.0,474302496.62020254,2218523.0,3640036039.0252323,1222682.095366657,505416682.54921305,640925667.6927239,214744.0,44488.0,128301.0,838177703.0,133144111.0,3404887962.260857,2496445878.8533344,349464108.0,318804681.0,8014328364.0,1840920796.0
VT,258.0,19791635.15493239,525115.0,1072347869.7887894,115792.373817586,110225609.04192713,36271069.65012577,45124.0,3350.0,11014.0,41588273.0,2436142.0,1058603792.023615,819334869.998134,19787307.0,17395319.0,1093422201.0,261428769.0
WA,812.0,97936427.55638857,1398774.0,3872339051.4318357,202720.86151727024,358240512.7547606,338050931.35741025,156427.0,25902.0,32151.0,289429781.0,31346821.0,3851628893.320669,3234180406.2860837,124221209.0,114688219.0,3058262407.0,635109102.0
WI,1824.0,219678697.30748728,1814057.0,5142249302.02446,377726.17033467186,615566275.1424,373589485.9348164,198499.0,32015.0,68642.0,343541349.0,23265041.0,4986832866.939423,3996117032.3473363,151721892.0,139575934.0,2681714100.0,853656593.0
WV,277.0,40284019.14789395,211981.0,526478608.95042557,37889.05709044066,41168173.189454004,11247325.704722025,23403.0,2107.0,2490.0,32522416.0,1205545.0,516616162.11539054,417821473.3518805,15352736.0,13750211.0,221310200.0,81860406.0
WY,109.0,12324123.715107543,248991.0,564705851.0322379,41673.96747628615,59171433.121968634,28052130.6028568,25008.0,2357.0,4229.0,34634562.0,338956.0,562229328.1412253,460580538.933234,15854647.0,14147470.0,451455806.0,124270484.0
